Data Point - T&A	 g2 (0) - T&A	Data Point - T&B	 g2 (0) - T&B	Data Point - B&C	 g2 (0) - B&C	Data Point - T&C	 g2 (0) - T&C	Data Point - B&C	 g2 (0) - B&C	
2772	1,52477	2772	NaN	2772	NaN	2772	NaN	2772	NaN	
2773	1,57649	2773	NaN	2773	NaN	2773	NaN	2773	NaN	
2774	1,52206	2774	NaN	2774	NaN	2774	NaN	2774	NaN	
2775	1,56542	2775	NaN	2775	NaN	2775	NaN	2775	NaN	
2776	1,60425	2776	NaN	2776	NaN	2776	NaN	2776	NaN	
2777	1,50761	2777	NaN	2777	NaN	2777	NaN	2777	NaN	
2778	1,55713	2778	NaN	2778	NaN	2778	NaN	2778	NaN	
2779	1,58221	2779	NaN	2779	NaN	2779	NaN	2779	NaN	
2780	1,64394	2780	NaN	2780	NaN	2780	NaN	2780	NaN	
2781	1,6612	2781	NaN	2781	NaN	2781	NaN	2781	NaN	
2782	1,66832	2782	NaN	2782	NaN	2782	NaN	2782	NaN	
2783	1,53483	2783	NaN	2783	NaN	2783	NaN	2783	NaN	
2784	1,563	2784	NaN	2784	NaN	2784	NaN	2784	NaN	
2785	1,5879	2785	NaN	2785	NaN	2785	NaN	2785	NaN	
2786	1,614	2786	NaN	2786	NaN	2786	NaN	2786	NaN	
2787	1,61136	2787	NaN	2787	NaN	2787	NaN	2787	NaN	
2788	1,58323	2788	NaN	2788	NaN	2788	NaN	2788	NaN	
2789	1,56436	2789	NaN	2789	NaN	2789	NaN	2789	NaN	
