Capture Duration (s) - T&A&B	g2(0) - T&A&B	
54,0653	0,0428651	
54,2651	0,0429584	
54,4638	0,042802	
54,6635	0,0428831	
54,8618	0,0429692	
55,0622	0,0432982	
55,2619	0,0433773	
55,4626	0,0432092	
55,6625	0,0430598	
55,8628	0,0433685	
56,062	0,0432032	
56,2625	0,0432919	
56,4819	0,0442859	
56,6806	0,0441354	
56,879	0,0439767	
57,0768	0,0438204	
57,2766	0,043659	
57,4748	0,0435126	
57,6746	0,043598	
57,8753	0,0436809	
58,0746	0,0435316	
58,2739	0,0433869	
58,4707	0,0434672	
58,6708	0,0435353	
58,8892	0,0433631	
59,0881	0,0432062	
59,2854	0,0430579	
59,4848	0,0429249	
59,6842	0,0427772	
59,8845	0,0426431	
60	0,0425626	
