Data Point - T&A	 g2 (0) - T&A	Data Point - T&B	 g2 (0) - T&B	Data Point - B&C	 g2 (0) - B&C	Data Point - T&C	 g2 (0) - T&C	Data Point - B&C	 g2 (0) - B&C	
1602	1,1729	1602	0,807383	1602	1,03928	1602	NaN	1602	NaN	
1603	1,01038	1603	1,14919	1603	1,08677	1603	NaN	1603	NaN	
1604	1,21083	1604	1,18346	1604	0,579962	1604	NaN	1604	NaN	
1605	0,957034	1605	1,07001	1605	0,841972	1605	NaN	1605	NaN	
1606	0,990292	1606	0,908063	1606	1,20104	1606	NaN	1606	NaN	
1607	1,02621	1607	0,962291	1607	0,8422	1607	NaN	1607	NaN	
1608	1,26785	1608	1,10348	1608	0,874694	1608	NaN	1608	NaN	
1609	1,03796	1609	1,15086	1609	1,10857	1609	NaN	1609	NaN	
1610	0,857096	1610	0,990285	1610	1,07328	1610	NaN	1610	NaN	
1611	0,942793	1611	1,39657	1611	0,883967	1611	NaN	1611	NaN	
1612	0,949025	1612	1,04341	1612	0,8209	1612	NaN	1612	NaN	
1613	0,889901	1613	1,16721	1613	1,21393	1613	NaN	1613	NaN	
1614	0,973562	1614	1,04706	1614	0,855237	1614	NaN	1614	NaN	
1615	0,997533	1615	1,23639	1615	1,15456	1615	NaN	1615	NaN	
1616	1,15566	1616	0,904641	1616	1,28805	1616	NaN	1616	NaN	
1617	1,15115	1617	0,93771	1617	1,44162	1617	NaN	1617	NaN	
1618	0,821021	1618	1,07566	1618	1,13444	1618	NaN	1618	NaN	
1619	0,879731	1619	1,09627	1619	0,902903	1619	NaN	1619	NaN	
1620	0,996881	1620	0,901587	1620	1,06576	1620	NaN	1620	NaN	
1621	0,885999	1621	0,983024	1621	0,736902	1621	NaN	1621	NaN	
1622	1,13764	1622	1,22141	1622	1,16733	1622	NaN	1622	NaN	
1623	0,770304	1623	0,889804	1623	0,739982	1623	NaN	1623	NaN	
1624	1,17751	1624	1,21588	1624	1,35732	1624	NaN	1624	NaN	
